IATA,Direction,Name,City,Country,Airlines,lat,lon,Distance_km,FlightTime_hr
LAX,A,Los Angeles,Los Angeles,United States,"['Aero Mexico', 'Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",33.9425,-118.40805,12189.3,14h 56m
EVN,A,Yerevan,Yerevan,Armenia,['Flyone Armenia Llc'],40.1473,44.3959,1243.4,2h 3m
ORD,D,Chicago - O'hare,Chicago,United States,['United Airlines'],41.97694,-87.90815,9945.9,12h 18m
EVN,D,Yerevan,Yerevan,Armenia,['Flyone Armenia Llc'],40.1473,44.3959,1243.4,2h 3m
NRT,A,Tokyo Intl.-narita,Tokyo,Japan,"['El Al Israel Airlines', 'Qantas Airways']",35.7647,140.386,9222.6,11h 27m
KTW,A,Katowice,Katowice,Poland,['Enter Air- E4'],50.4743,19.08,2430.3,3h 28m
KTW,D,Katowice,Katowice,Poland,['Enter Air- E4'],50.4743,19.08,2430.3,3h 28m
FLL,D,Fort Lauderdale,Fort Lauderdale,United States,['El Al Israel Airlines'],26.07167,-80.14969,10596.8,13h 4m
PEK,A,Beijing,Beijing,China,['Hainan Airlines'],40.0801,116.585,7156.5,9h 1m
MLA,D,Malta,Malta,Malta,['Fly Lili'],35.8575,14.4775,1930.7,2h 55m
GVA,D,Geneva,Geneva,Switzerland,['Arkia Israeli Airlines'],46.2381,6.10895,2922.5,4h 2m
CLJ,A,Cluj Napoca,Cluj,Romania,['Wizz Air Malta'],46.7852,23.6862,1898.9,2h 52m
CLJ,D,Cluj Napoca,Cluj,Romania,['Wizz Air Malta'],46.7852,23.6862,1898.9,2h 52m
YYZ,A,Toronto,Toronto,Canada,['Air Canada'],43.6772,-79.6306,9316.1,11h 34m
CTA,D,Catania Fontanarossa,Catania,Italy,['Israir Airlines'],37.4668,15.0664,1909.0,2h 53m
TAS,A,Tashkent,Tashkent,Uzbekistan,['Uzbekistan Air'],41.2579,69.2812,3218.6,4h 23m
RIX,D,Riga,Riga,Latvia,['Air Baltic'],56.9236,23.9711,2893.5,4h
YYZ,D,Toronto,Toronto,Canada,['Air Canada'],43.6772,-79.6306,9316.1,11h 34m
TAS,D,Tashkent,Tashkent,Uzbekistan,['Uzbekistan Air'],41.2579,69.2812,3218.6,4h 23m
TLS,A,Toulouse,Toulouse,France,['Transavia France'],43.6291,1.36382,3193.2,4h 21m
BOS,A,Boston-logan Int,Boston,United States,"['Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",42.36294,-71.00639,8837.9,11h
PEK,D,Beijing,Beijing,China,['Hainan Airlines'],40.0801,116.585,7156.5,9h 1m
MLA,A,Malta,Malta,Malta,['Fly Lili'],35.8575,14.4775,1930.7,2h 55m
TLS,D,Toulouse,Toulouse,France,['Transavia France'],43.6291,1.36382,3193.2,4h 21m
HAM,A,Hamburg,Hamburg,Germany,['Eurowings'],53.6304,9.98823,3115.8,4h 16m
IAD,A,Washington-dulles,Washington,United States,['United Airlines'],38.9,-77.5,9508.0,11h 47m
HAM,D,Hamburg,Hamburg,Germany,['Eurowings'],53.6304,9.98823,3115.8,4h 16m
BEG,D,Belgrade,Belgrade,Serbia,['El Al Israel Airlines'],44.8184,20.3091,1902.7,2h 53m
CTA,A,Catania Fontanarossa,Catania,Italy,['Israir Airlines'],37.4668,15.0664,1909.0,2h 53m
GVA,A,Geneva,Geneva,Switzerland,['Arkia Israeli Airlines'],46.2381,6.10895,2922.5,4h 2m
HKT,D,Phuket,Phuket,Thailand,"['El Al Israel Airlines', 'Thai Airways']",8.1132,98.3169,7036.7,8h 53m
BEG,A,Belgrade,Belgrade,Serbia,['El Al Israel Airlines'],44.8184,20.3091,1902.7,2h 53m
FLL,A,Fort Lauderdale,Fort Lauderdale,United States,"['Delta Airlines', 'El Al Israel Airlines', 'Jetblue Airways Corporation']",26.07167,-80.14969,10596.8,13h 4m
DEB,D,Debrecen,Debrecen,Hungary,['Israir Airlines'],47.4889,21.6153,2054.7,3h 1m
